국가별,시점,국내총생산,고용률,국민부담률,경제활동참가율 (%),무역의존도_수출,무역의존도_수입,수출,수입,외환보유액,부채비율,실업률,평균근로자세금,디플레이터,GDP_성장률
한국,2000,12261,61.5,20.9,61.2,29.89,27.84,172268,160481,96198,,4.4,16.4,72.1,9.1
한국,2001,11563,62.2,21.2,61.5,27.47,25.76,150439,141098,102821,,4,16.5,74.6,4.9
한국,2002,13164,63.4,21.3,62.1,25.91,24.26,162471,152126,121413,,3.3,16.1,76.9,7.7
한국,2003,14669,63,22,61.6,27.59,25.45,193817,178827,155352,,3.6,16.4,79.5,3.1
한국,2004,16506,63.8,21.2,62.3,31.99,28.28,253845,224463,199066,,3.7,17,82,5.2
한국,2005,19399,63.7,21.7,62.2,30.43,27.95,284419,261238,210391,,3.7,17.3,82.9,4.3
한국,2006,21727,64,22.6,62.2,30.93,29.4,325465,309383,238956,,3.5,18.2,82.7,5.3
한국,2007,24088,64.1,23.7,62.2,31.68,30.43,371489,356846,262224,,3.2,19.7,84.7,5.8
한국,2008,21340,64,23.6,61.7,40.31,41.58,422007,435275,201223,,3.2,20,87.1,3
한국,2009,19152,63,22.7,61,38.5,34.21,363534,323085,269995,,3.6,19.5,90.2,0.8
한국,2010,23083,63.4,22.4,61.1,40.77,37.17,466384,425212,291571,,3.7,20.1,92.7,6.8
한국,2011,25100,63.9,23.2,61.3,44.3,41.84,555214,524413,306402,33.1,3.4,20,93.9,3.7
한국,2012,25458,64.3,23.7,61.6,42.87,40.66,547870,519584,326968,35,3.2,20.5,95.1,2.4
한국,2013,27178,64.6,23.1,61.7,40.83,37.62,559632,515586,346460,37.7,3.1,21,96,3.2
한국,2014,29242,65.6,23.4,62.7,38.59,35.41,572665,525515,363593,39.7,3.5,21.2,96.9,3.2
한국,2015,28724,65.9,23.7,62.8,35.95,29.79,526757,436499,367962,40.8,3.6,21.4,100,2.8
한국,2016,29287,66.1,24.7,62.9,33.03,27.08,495426,406193,371102,41.2,3.7,21.8,102,2.9
한국,2017,31605,66.6,25.4,63.2,35.34,29.48,573694,478478,389267,40.1,3.7,22,104.3,3.2
한국,2018,33429,66.6,26.8,63.1,35.06,31.02,604860,535202,403694,40,3.8,22.4,104.8,2.9
한국,2019,31929,66.8,27.4,63.3,32.84,30.49,542233,503343,408816,42.2,3.8,22.9,103.9,2.2
한국,2020,31637,65.9,,62.5,31.28,28.55,512498,467633,443098,,4,23.3,105.2,-0.9
이스라엘,2000,21101,56.1,34.8,61.4,21.35,26.54,28335,35214,23281,,11.1,29.6,83.4,7.5
이스라엘,2001,20354,55.6,34.7,61.3,19.62,24.95,25719,32697,23379,90.941,11.8,30.7,85.1,0.1
이스라엘,2002,18480,54.8,33.9,60.6,21.11,26.81,25632,32548,24083,94.569,12.9,30.8,89,0
이스라엘,2003,19034,55,33.2,60.9,21.89,26.43,27875,33657,26315,99.681,13.5,27.7,88.7,1.1
이스라엘,2004,19934,55.7,33.3,61.4,24.91,29.73,33804,40347,27094,97.684,13,26.4,88.8,4.2
이스라엘,2005,20586,56.7,33.7,61.8,25.66,31.16,36608,44453,28059,95.195,11.3,25.5,89.9,3.8
이스라엘,2006,21855,57.6,34.2,62.2,25.76,30.7,39714,47333,29153,84.956,10.7,24.3,91.3,5.6
이스라엘,2007,24939,58.9,34.2,62.8,25.65,31.34,45924,56115,28519,79.752,9.4,24.9,92.2,5.7
이스라엘,2008,29600,59.8,31.9,62.8,23.7,29.8,51276,64474,42513,80.229,7.7,22.9,94.2,3
이스라엘,2009,27720,59.2,29.8,62.9,20.24,22.58,42007,46863,60611,83.54,9.5,21.3,98.2,0.9
이스라엘,2010,30694,60.2,30.7,63.3,21.69,25.03,50766,58575,70907,79.539,8.5,20.7,100,5.6
이스라엘,2011,33611,60.9,31,63,22.25,27.84,58065,72663,74874,77.743,7.1,20.8,101.8,4.6
이스라엘,2012,32510,66.5,30.1,63.6,20.96,28.06,53892,72168,75908,78.815,6.9,20.4,106.2,2.4
이스라엘,2013,36316,67.1,30.8,63.7,19.42,24.28,56844,71071,81786,76.501,6.2,20.4,108.6,4.2
이스라엘,2014,37738,67.9,31,64.2,18.6,23.05,57657,71464,86101,77.106,5.9,21.1,109.4,3.9
이스라엘,2015,35814,68.3,31.2,64.1,17.84,20.44,53536,61340,90575,76.615,5.3,21.8,112.7,2.2
이스라엘,2016,37283,68.6,31.2,64.1,16.38,20.42,52175,65048,95446,75.776,4.8,22.3,113.8,3.8
이스라엘,2017,40475,69,32.5,64,15.05,19.28,53063,68006,113010,72.773,4.2,22.1,114,3.6
이스라엘,2018,41705,69,30.9,63.9,14.63,20.45,54211,75741,115266,71.496,4,22.7,115.3,3.5
이스라엘,2019,43589,68.9,30.5,63.5,13.15,19.18,51899,75697,126008,73.767,3.8,22.9,118,3.5
이스라엘,2020,43611,66.8,,,12.28,17.37,49372,69810,173292,,4.3,22.4,119.3,-2.4
일본,2000,38532,69,25.8,62.4,9.81,7.77,479296,379727,361639,140.804,4.8,29.8,112.1,2.8
일본,2001,33846,68.9,25.9,62,9.37,8.11,403241,349201,401958,146.843,5,29.9,110.9,0.4
일본,2002,32289,68.3,24.9,61.2,10.13,8.2,416726,337598,469728,157.095,5.4,30.2,109.3,0.1
일본,2003,34808,68.5,24.5,60.8,10.61,8.62,471816,383299,673530,166.315,5.3,27.4,107.6,1.5
일본,2004,37689,68.8,25.2,60.4,11.75,9.45,565673,455189,844667,172.611,4.7,27.3,106.4,2.2
일본,2005,37218,69.4,26.2,60.4,12.51,10.85,594860,515809,846896,173.223,4.5,27.7,105.1,1.7
일본,2006,35434,70,27,60.4,14.28,12.78,646737,579042,895321,173.229,4.2,28.8,104.2,1.4
일본,2007,35275,70.8,27.5,60.4,15.82,13.78,714211,622135,973364,175.053,3.9,29.3,103.4,1.7
일본,2008,39339,70.9,27.4,60.2,15.52,15.14,782049,762590,1030646,179.168,4,29.5,102.5,-1.1
일본,2009,40855,70.2,26,59.9,11.1,10.55,580719,551960,1052061,200.403,5.1,29.2,101.9,-5.4
일본,2010,44508,70.3,26.5,59.6,13.5,12.18,769773,694052,1104680,205.063,5.1,30.2,100,4.2
일본,2011,48168,70.8,27.5,59.3,13.36,13.89,822564,854998,1295838,219.259,4.6,30.8,98.4,-0.1
일본,2012,48603,70.6,28.2,59,12.87,14.28,798620,886036,1268086,227.53,4.4,31.3,97.6,1.5
일본,2013,40454,71.8,28.9,59.3,13.86,16.14,714613,832343,1266778,230.38,4,31.6,97.3,2
일본,2014,38109,72.8,30.3,59.4,14.23,16.75,690202,812207,1260514,235.843,3.6,32,98.9,0.4
일본,2015,34524,73.4,30.7,59.6,14.23,14.76,624787,647982,1233153,234.073,3.4,32.3,101,1.2
일본,2016,38762,74.4,30.7,60,13.1,12.34,644899,607601,1216843,231.872,3.1,32.4,101.4,0.5
일본,2017,38387,75.3,31.4,60.5,14.34,13.81,698131,671921,1264141,230.941,2.8,32.5,101.4,2.2
일본,2018,39159,76.9,32,61.5,14.9,15.11,738195,748526,1270466,234.789,2.4,32.7,101.4,0.3
일본,2019,40113,77.7,,62.1,13.93,14.24,705671,721078,1322443,233.669,2.4,32.7,102,0.3
일본,2020,34355.48,77.3,,62,,,,,1390809,224.9,2.8,32.7,,-4.8
터키,2000,4337,,23.5,50,10.1,19.82,27701,54367,23498,,6.5,40.4,21.8,6.9
터키,2001,3143,,25.4,49.8,15.53,20.55,31331,41454,19871,,8.4,43.6,33.3,-5.8
터키,2002,3688,,23.8,49.6,14.97,21.46,35974,51551,28101,,10.4,42.5,45.9,6.4
터키,2003,4760,,25,48.3,14.98,22.08,47125,69453,35549,,10.5,42.2,56.6,5.8
터키,2004,6102,,23.1,46.3,15.46,23.91,63196,97779,37252,,10.8,42.8,63.6,9.8
터키,2005,7456,,23.1,46.4,14.56,23.13,73715,117115,52491,,10.6,42.8,68.1,9
터키,2006,8102,44.6,23.4,45.5,15.44,25.17,86003,140234,63265,,8.7,42.7,74.5,6.9
터키,2007,9792,44.7,22.9,45.5,15.8,25.07,107654,170837,76506,,8.9,42.2,79.1,5
터키,2008,10941,44.9,23,46.2,17.19,26.2,132446,201851,73657,,9.7,38.7,88.6,0.8
터키,2009,9103,44.2,23.3,47.1,15.78,21.75,102471,141186,74995,,12.6,36.7,93.4,-4.8
터키,2010,10743,46.3,24.7,48.1,14.67,23.88,114022,185531,85971,48.901,10.7,37,100,8.4
터키,2011,11421,48.4,25.7,49.3,16.13,28.74,135288,241076,88210,43.603,8.8,37,108.2,11.2
터키,2012,11796,48.9,24.8,49.4,17.36,26.95,152905,237310,119177,40.941,8.2,37.1,116.2,4.8
터키,2013,12615,49.5,25.2,50.3,16.88,27.21,161698,260639,131004,34.284,8.7,37.4,123.5,8.5
터키,2014,12158,49.5,24.5,50.5,17.75,26.72,166658,250916,127307,33.234,9.9,38.1,132.7,4.9
터키,2015,11006,50.2,25,51.2,17.49,24.68,151158,213281,110527,32.6,10.2,38.2,143.1,6.1
터키,2016,10895,50.7,25.1,52,17.18,23.24,149390,202089,104971,34.354,10.8,38.2,154.7,3.3
터키,2017,10590,51.6,24.7,52.8,19.17,27.78,164671,238662,107657,34.861,10.8,38.9,171.7,7.5
터키,2018,9453,52,24,53.2,22.78,29.61,177328,230447,92997,32.362,10.9,39.2,200,3
터키,2019,9127,50.3,23.1,52.9,23.77,27.61,181021,210261,105620,34.816,13.7,39.6,227.8,0.9
터키,2020,8538,47.5,,49.3,23.58,30.52,169835,219758,93199,,13.1,39.7,261.6,1.8
캐나다,2000,24271,70.9,34.7,65.8,38.68,32.71,288057,243646,32425,105.071,6.8,32.9,79.8,4.9
캐나다,2001,23822,70.8,34.1,65.9,36.65,30.56,270824,225847,34253,104.776,7.2,31.5,81.2,1.4
캐나다,2002,24255,71.4,33.1,66.9,34.51,29.84,262476,226952,37189,103.575,7.7,31.7,82.2,3.4
캐나다,2003,28300,72.2,32.7,67.6,31.7,27.32,283926,244646,36267,99.241,7.6,31.7,84.8,3.8
캐나다,2004,32144,72.5,32.7,67.5,32.01,27.21,328673,279361,34477,95.322,7.2,31.9,87.6,3.9
캐나다,2005,36383,72.4,32.7,67.1,31.6,27.29,370734,320129,33018,93.873,6.8,31.9,90.4,5
캐나다,2006,40504,72.7,32.7,67,30.2,27.04,398470,356714,35063,91.149,6.3,31.7,92.7,4.2
캐나다,2007,44660,73.3,32.5,67.4,29.32,26.45,430613,388490,41082,86.954,6,31.3,95.7,6.9
캐나다,2008,46711,73.4,31.2,67.6,29.67,26.91,460709,417928,43873,89.725,6.1,31.3,99.5,1
캐나다,2009,40876,71.3,32.3,67.1,23.49,23.93,322965,329000,54357,102.711,8.3,30.5,97.2,-2.9
캐나다,2010,47562,71.3,31,66.9,24.26,24.84,392346,401709,57151,105.016,8.1,30.4,100,3.1
캐나다,2011,52224,71.7,30.8,66.7,25.73,25.71,461441,461006,65819,107.66,7.5,30.6,103.2,3.1
캐나다,2012,52669,71.9,31.2,66.5,25.26,25.99,461876,475105,68546,111.306,7.3,30.8,104.5,1.8
캐나다,2013,52635,72.3,31.1,66.5,25.2,25.62,465271,473160,71936,107.323,7.1,31,106.3,2.3
캐나다,2014,50956,72.1,31.3,66,26.55,26.3,479377,475000,74700,108.351,6.9,31.6,108.4,2.9
캐나다,2015,43596,72.4,32.8,65.8,26.35,27.59,410200,429490,79753,114.634,6.9,31.5,107.4,0.7
캐나다,2016,42316,72.3,33.3,65.7,25.79,27.04,394055,413106,82718,114.149,7,31.4,108.2,1
캐나다,2017,45129,73.2,33.1,65.8,25.72,26.88,424216,443282,86678,108.556,6.3,30.6,111,3
캐나다,2018,46455,73.5,33.2,65.4,26.34,27.22,453475,468729,83926,107.383,5.8,30.8,113,2.4
